,precision,recall,f1-score,support
AnnualCrop,0.9652317880794702,0.9716666666666667,0.96843853820598,600.0
Forest,0.9917218543046358,0.9983333333333333,0.9950166112956811,600.0
HerbaceousVegetation,0.9749582637729549,0.9733333333333334,0.9741451209341118,600.0
Highway,0.9919191919191919,0.982,0.9869346733668342,500.0
Industrial,0.98,0.98,0.98,500.0
Pasture,0.9702970297029703,0.98,0.9751243781094527,400.0
PermanentCrop,0.9735772357723578,0.958,0.9657258064516129,500.0
Residential,0.9802631578947368,0.9933333333333333,0.9867549668874173,600.0
River,1.0,0.988,0.993963782696177,500.0
SeaLake,1.0,1.0,1.0,600.0
accuracy,0.9829629629629629,0.9829629629629629,0.9829629629629629,0.9829629629629629
macro avg,0.9827968521446317,0.9824666666666667,0.9826103877947266,5400.0
weighted avg,0.9829948266959336,0.9829629629629629,0.9829583379435199,5400.0
