,precision,recall,f1-score,support
AnnualCrop,0.9735099337748344,0.98,0.9767441860465116,600.0
Forest,0.9787928221859706,1.0,0.989282769991756,600.0
HerbaceousVegetation,0.9532258064516129,0.985,0.9688524590163935,600.0
Highway,0.9876796714579056,0.962,0.9746707193515705,500.0
Industrial,0.9820359281437125,0.984,0.983016983016983,500.0
Pasture,0.9719387755102041,0.9525,0.9621212121212122,400.0
PermanentCrop,0.9666666666666667,0.928,0.9469387755102041,500.0
Residential,0.9819078947368421,0.995,0.9884105960264901,600.0
River,0.9919354838709677,0.984,0.9879518072289156,500.0
SeaLake,1.0,0.9983333333333333,0.9991659716430359,600.0
accuracy,0.9787037037037037,0.9787037037037037,0.9787037037037037,0.9787037037037037
macro avg,0.9787692982798717,0.9768833333333333,0.9777155479953074,5400.0
weighted avg,0.9787770851043083,0.9787037037037037,0.978631706858673,5400.0
