,precision,recall,f1-score,support
AnnualCrop,0.975609756097561,0.9333333333333333,0.9540034071550255,600.0
Forest,0.9851973684210527,0.9983333333333333,0.9917218543046358,600.0
HerbaceousVegetation,0.9426751592356688,0.9866666666666667,0.9641693811074918,600.0
Highway,0.979757085020243,0.968,0.9738430583501007,500.0
Industrial,0.9726027397260274,0.994,0.9831849653808111,500.0
Pasture,0.9823232323232324,0.9725,0.9773869346733668,400.0
PermanentCrop,0.9631901840490797,0.942,0.9524772497472194,500.0
Residential,0.9883527454242929,0.99,0.9891756869275604,600.0
River,0.9919678714859438,0.988,0.9899799599198397,500.0
SeaLake,0.9966722129783694,0.9983333333333333,0.9975020815986678,600.0
accuracy,0.9775925925925926,0.9775925925925926,0.9775925925925926,0.9775925925925926
macro avg,0.9778348354761471,0.9771166666666666,0.977344457916472,5400.0
weighted avg,0.9777393663637235,0.9775925925925926,0.9775260809674743,5400.0
