,precision,recall,f1-score,support
AnnualCrop,0.9629005059021922,0.9516666666666667,0.9572506286672254,600.0
Forest,0.9900662251655629,0.9966666666666667,0.9933554817275747,600.0
HerbaceousVegetation,0.9321766561514195,0.985,0.9578606158833063,600.0
Highway,0.969939879759519,0.968,0.968968968968969,500.0
Industrial,0.9814814814814815,0.954,0.9675456389452333,500.0
Pasture,0.9529702970297029,0.9625,0.9577114427860697,400.0
PermanentCrop,0.9498956158663883,0.91,0.9295199182839632,500.0
Residential,0.9536741214057508,0.995,0.9738988580750407,600.0
River,0.9854771784232366,0.95,0.9674134419551935,500.0
SeaLake,0.9949409780775716,0.9833333333333333,0.989103101424979,600.0
accuracy,0.9672222222222222,0.9672222222222222,0.9672222222222222,0.9672222222222222
macro avg,0.9673522939262826,0.9656166666666666,0.9662628096717555,5400.0
weighted avg,0.9675630164071651,0.9672222222222222,0.9671647727144412,5400.0
