,precision,recall,f1-score,support
AnnualCrop,0.9590834697217676,0.9766666666666667,0.967795210569777,600.0
Forest,0.9867768595041322,0.995,0.9908713692946058,600.0
HerbaceousVegetation,0.9635157545605307,0.9683333333333334,0.9659185369908562,600.0
Highway,0.9621513944223108,0.966,0.9640718562874252,500.0
Industrial,0.9684418145956607,0.982,0.9751737835153923,500.0
Pasture,0.9720101781170484,0.955,0.9634300126103404,400.0
PermanentCrop,0.9591836734693877,0.94,0.9494949494949495,500.0
Residential,0.9982964224872232,0.9766666666666667,0.987363100252738,600.0
River,0.9683794466403162,0.98,0.974155069582505,500.0
SeaLake,0.9966442953020134,0.99,0.9933110367892977,600.0
accuracy,0.9740740740740741,0.9740740740740741,0.9740740740740741,0.9740740740740741
macro avg,0.9734483308820391,0.9729666666666666,0.9731584925387887,5400.0
weighted avg,0.9741615401400107,0.9740740740740741,0.9740695160782661,5400.0
